eventLabel,roleLabel,personLabel,affiliationLabel
11th International Semantic Web Conference,Doctoral Consortium Chair at ISWC 2012,Guus Schreiber,VU University Amsterdam
11th International Semantic Web Conference,Doctoral Consortium Chair at ISWC 2012,Jim Hendler,RPI
11th International Semantic Web Conference,Evaluation Chair at ISWC 2012,Jérôme Euzenat,INRIA & LIG
11th International Semantic Web Conference,Evaluation Chair at ISWC 2012,Josiane Xavier Parreira,"DERI, NUI Galway"
11th International Semantic Web Conference,Evaluation Chair at ISWC 2012,Manfred Hauswirth,"DERI, NUI Galway"
11th International Semantic Web Conference,Fellowship Chair at ISWC 2012,Jennifer Golbeck,University of Maryland
11th International Semantic Web Conference,General Chair at ISWC 2012,Abraham Bernstein,University of Zurich
11th International Semantic Web Conference,Industry Chair at ISWC 2012,Ivan Herman,W3C
11th International Semantic Web Conference,Industry Chair at ISWC 2012,Tim Berners-Lee,W3C
11th International Semantic Web Conference,Industry Chair at ISWC 2012,Tom Heath,Talis
11th International Semantic Web Conference,Semantic Web In Use Chair at ISWC 2012,Evren Sirin,Clark & Parsia
11th International Semantic Web Conference,Semantic Web In Use Chair at ISWC 2012,Tania Tudorache,Stanford University
11th International Semantic Web Conference,Local Chair at ISWC 2012,Lalana Kagal,MIT
11th International Semantic Web Conference,Metadata Chair at ISWC 2012,Li Ding,Qualcomm
11th International Semantic Web Conference,Poster and Demo Chair at ISWC 2012,Birte Glimm,University of Ulm
11th International Semantic Web Conference,Poster and Demo Chair at ISWC 2012,David Huynh,Google Inc.
11th International Semantic Web Conference,Proceedings Chair at ISWC 2012,Eva Blomqvist,Linköping University
11th International Semantic Web Conference,Proceedings Chair at ISWC 2012,Eva Blomqvist,STLab (ISTC-CNR)
11th International Semantic Web Conference,Publicity Chair at ISWC 2012,Oshani Seneviratne,MIT
11th International Semantic Web Conference,Program Chair at ISWC 2012,Jeff Heflin,Lehigh University
11th International Semantic Web Conference,Program Chair at ISWC 2012,Philippe Cudré-Mauroux,University of Fribourg
11th International Semantic Web Conference,Semantic Web Challenge Chair at ISWC 2012,Andreas Harth,"AIFB, Karlsruhe Institute of Technology"
11th International Semantic Web Conference,Semantic Web Challenge Chair at ISWC 2012,Diana Maynard,University of Sheffield
11th International Semantic Web Conference,Sponsorship Chair at ISWC 2012,David Wood,3roundstones
11th International Semantic Web Conference,Sponsorship Chair at ISWC 2012,Peter Mika,Yahoo! Research
11th International Semantic Web Conference,Webmaster Chair at ISWC 2012,Stéphane Corlosquet,Massachusetts General Hospital
